"line_id","order_id","book_id","price"
1,5198,2208,8.44
2,2653,6586,16.04
3,3604,8936,8.75
4,3201,9416,5.35
5,3735,8598,0.54
6,6081,3971,3.26
7,7194,7603,16.86
8,3386,8497,1.66
9,1642,5496,5.13
10,4427,10740,9.19
11,3219,2628,11.08
12,1388,220,4.5
13,5519,1430,10.56
14,961,6328,8.52
15,4175,10578,18.37
16,4454,2115,4.16
17,47,5312,5.11
18,4591,5874,12.15
19,7164,2209,1.36
20,4406,3173,19.16
21,2977,8224,15.86
22,7425,2998,19.41
23,1321,8675,0.57
24,744,7221,12.71
25,4188,8467,5.12
26,3263,950,15.35
27,5335,7567,2.97
28,4205,9997,14.24
29,372,1836,14.38
30,5155,10019,14.34
31,1801,6296,1.97
32,6584,5717,16.72
33,936,6552,1.1
34,5035,9313,18.4
35,1248,9283,3.83
36,2069,5359,3.15
37,3679,2135,9.73
38,259,295,12.48
39,4428,3939,2.97
40,2696,7097,6.52
41,3424,6932,9.91
42,6302,1278,0.44
43,739,5126,6.02
44,6434,11012,5.74
45,442,2440,18.07
46,5217,6998,2.51
47,72,3528,10.22
48,1754,1893,1.67
49,2053,952,19.35
50,1747,6359,18.68
51,7093,9040,10.26
52,815,10022,7.27
53,3994,9126,11.38
54,588,11105,1.68
55,5,598,7.33
56,5539,1243,18.24
57,4750,649,1.2
58,4125,4829,5.96
59,7470,9164,5.78
60,4978,3755,13.09
61,5456,5551,9.24
62,5934,6466,7.14
63,6137,5434,2.33
64,3335,8673,17.48
65,5970,195,0.09
66,6223,10330,10.16
67,4542,7408,5.49
68,7292,5532,6.67
69,5856,8095,18.92
70,6430,9413,17.83
71,1855,7165,2.56
72,6300,10558,0.24
73,3574,991,8.96
74,2133,7495,12.01
75,5284,10150,4.88
76,5930,1846,1.34
77,3717,544,13.86
78,2011,7315,9.89
79,2387,5574,2.67
80,4030,6882,10.81
81,1052,8349,9.36
82,5215,2287,2.23
83,7098,4179,14.46
84,2548,8880,12.68
85,2964,4346,10.12
86,604,3188,18.9
87,1685,6672,15.65
88,879,5137,9.97
89,7288,4020,17.04
90,6945,7123,16.16
91,5672,10588,12
92,3781,6877,3.8
93,6093,6886,15.78
94,3939,5228,12.76
95,7159,9862,2.08
96,2939,8667,12.24
97,669,4380,12.92
98,2102,939,10.03
99,6242,7238,9.26
100,2842,7034,1.98
101,3253,3542,0.57
102,1717,7435,13.38
103,7463,794,0.7
104,93,3763,6.54
105,7139,10688,12.36
106,3860,6861,11.61
107,1803,1262,7.41
108,1650,948,8.62
109,2517,5569,18.63
110,893,2300,6.64
111,1182,186,16.64
112,56,5387,12.67
113,7034,1137,16.3
114,5129,1743,2.26
115,2072,9828,11.03
116,1221,2047,18.12
117,582,7706,6.66
118,1842,5132,16.52
119,4227,3899,1.37
120,4816,6274,1.26
121,4479,8959,3.23
122,2971,2232,15.73
123,2862,418,18.26
124,3540,10274,5.14
125,5180,6501,16.74
126,6930,8181,19.77
127,725,9123,16.99
128,5256,6993,5.91
129,3507,4040,7.33
130,1306,10909,3.95
131,4528,6896,4.56
132,4216,9681,7.12
133,6121,4879,10.87
134,6277,8668,19.94
135,7002,8825,7.87
136,7048,8380,14.14
137,3893,4387,1.69
138,1837,2977,2.51
139,1845,6308,2.13
140,3473,3465,0.14
141,5524,5366,18.78
142,4332,4368,0.26
143,5074,4202,1.72
144,2401,1368,11
145,7493,7211,0.83
146,2393,10696,12.96
147,6476,9840,5.11
148,3815,7089,8.1
149,584,7447,6.19
150,5620,5933,5.32
151,3905,8169,14.93
152,1939,3095,13.56
153,953,6202,8.06
154,7383,6624,9.66
155,5887,1995,2.63
156,540,5251,7.76
157,358,7551,13.42
158,4478,10763,11.01
159,5942,2812,9.39
160,116,9215,17.8
161,5849,1199,16.32
162,6133,1412,7.15
163,4720,7764,9.87
164,1054,10643,3.22
165,5000,2865,17.03
166,7268,7627,2.79
167,3641,3151,6.34
168,5414,1388,9.23
169,6153,9421,11.8
170,5429,11104,4.09
171,5658,7694,8.81
172,4536,3835,2.26
173,4508,962,14.56
174,7186,1981,13.51
175,2697,1830,5.53
176,897,7598,13.78
177,3839,6907,13.47
178,2736,9456,13.47
179,3606,7990,16.65
180,3643,4590,19.39
181,7180,4118,4.32
182,5818,5284,13.71
183,836,3867,1.81
184,6541,1018,15.2
185,113,2318,18.55
186,6545,10926,0.4
187,3420,3749,1.97
188,188,4434,1.07
189,4232,2753,10.46
190,4238,10846,9.79
191,3989,9304,15.35
192,5382,6137,3.35
193,1715,8124,17.05
194,5858,2757,3.51
195,4556,2781,7.61
196,378,360,17.21
197,4552,3169,3.36
198,6163,1687,15.23
199,3095,6162,17.23
200,4624,7133,7.75
201,640,4445,13.76
202,6682,5917,0.85
203,2609,285,9.97
204,2595,5584,5.62
205,1296,9131,14.8
206,4921,3575,4.8
207,5110,6011,13.58
208,135,7031,9.1
209,3249,641,9.93
210,7261,4660,15.17
211,3985,4819,16.38
212,5659,2958,7.91
213,6250,9917,0.15
214,1995,10575,10.47
215,5649,9984,19.45
216,5274,8748,10.56
217,4849,9217,19.58
218,3364,1802,11.97
219,163,5069,15.68
220,6460,1949,4.28
221,3855,5226,13.86
222,7041,5596,16.47
223,5821,6105,18.84
224,2519,4605,1.14
225,1485,8157,14.41
226,4054,6173,3.77
227,2052,2108,4.11
228,1295,2810,11.48
229,4108,1653,10
230,3770,692,5.32
231,411,775,11.39
232,4804,3065,7.18
233,5102,829,15.65
234,3010,8607,8.57
235,722,2721,0.34
236,6853,3307,13.9
